batter,season,batting_team,matches,total_runs,highest_score,fours,sixes,balls_faced,strike_rate,avg_per_match
Dhruv Jurel,2024,Rajasthan Royals,11,195,6,18,7,141,138.3,17.73
RR Pant,2024,Delhi Capitals,13,446,6,36,25,287,155.4,34.31
VR Iyer,2024,Kolkata Knight Riders,13,370,6,35,19,233,158.8,28.46
AM Rahane,2024,Chennai Super Kings,12,242,6,24,7,196,123.47,20.17
D Brevis,2024,Mumbai Indians,3,69,6,3,5,59,116.95,23.0
Rahmanullah Gurbaz,2024,Kolkata Knight Riders,2,62,6,7,4,46,134.78,31.0
SP Narine,2025,Kolkata Knight Riders,12,246,6,25,19,144,170.83,20.5
AD Russell,2025,Kolkata Knight Riders,10,167,6,16,14,102,163.73,16.7
D Padikkal,2025,Royal Challengers Bengaluru,10,247,6,22,14,163,151.53,24.7
R Minz,2025,Mumbai Indians,2,6,2,0,0,15,40.0,3.0
DJ Hooda,2025,Chennai Super Kings,5,25,4,2,0,40,62.5,5.0
MS Dhoni,2025,Chennai Super Kings,13,196,6,12,12,145,135.17,15.08
AJ Turner,2024,Lucknow Super Giants,2,21,6,0,2,18,116.67,10.5
TU Deshpande,2025,Rajasthan Royals,4,7,2,0,0,8,87.5,1.75
KH Pandya,2025,Royal Challengers Bengaluru,7,105,6,8,4,85,123.53,15.0
R Sai Kishore,2025,Gujarat Titans,3,5,1,0,0,10,50.0,1.67
Akash Deep,2025,Lucknow Super Giants,2,6,6,0,1,2,300.0,3.0
Mohammed Siraj,2025,Gujarat Titans,1,3,2,0,0,4,75.0,3.0
RA Bawa,2025,Mumbai Indians,1,8,3,0,0,4,200.0,8.0
R Dravid,2007/08,Royal Challengers Bangalore,14,370,6,35,11,297,124.58,26.43
SM Katich,2007/08,Kings XI Punjab,2,95,6,11,2,68,139.71,47.5
YK Pathan,2007/08,Rajasthan Royals,15,430,6,43,25,239,179.92,28.67
RR Sarwan,2007/08,Kings XI Punjab,4,73,6,6,1,75,97.33,18.25
D Kalyankrishna,2007/08,Deccan Chargers,1,3,1,0,0,8,37.5,3.0
Umar Gul,2007/08,Kolkata Knight Riders,4,39,6,1,5,19,205.26,9.75
JA Morkel,2007/08,Chennai Super Kings,10,235,6,18,13,162,145.06,23.5
Misbah-ul-Haq,2007/08,Royal Challengers Bangalore,8,117,6,10,6,81,144.44,14.63
PM Sarvesh Kumar,2007/08,Deccan Chargers,1,1,1,0,0,2,50.0,1.0
ML Hayden,2009,Chennai Super Kings,12,571,6,60,22,393,145.29,47.58
DPMD Jayawardene,2009,Kings XI Punjab,10,219,6,17,7,165,132.73,21.9
G Gambhir,2009,Delhi Daredevils,15,284,6,32,2,276,102.9,18.93
A Chopra,2009,Kolkata Knight Riders,1,11,4,2,0,19,57.89,11.0
T Kohli,2009,Kings XI Punjab,1,1,1,0,0,4,25.0,1.0
C Nanda,2009,Mumbai Indians,1,0,0,0,0,1,0.0,0.0
SR Tendulkar,2009/10,Mumbai Indians,15,616,6,86,3,463,133.05,41.07
AA Jhunjhunwala,2009/10,Rajasthan Royals,10,183,6,16,4,166,110.24,18.3
RR Powar,2009/10,Kings XI Punjab,2,5,2,0,0,8,62.5,2.5
V Kohli,2009/10,Royal Challengers Bangalore,13,306,6,26,12,211,145.02,23.54
RE van der Merwe,2009/10,Royal Challengers Bangalore,1,1,1,0,0,2,50.0,1.0
LR Shukla,2009/10,Kolkata Knight Riders,2,36,6,3,2,26,138.46,18.0
FY Fazal,2009/10,Rajasthan Royals,9,164,6,19,1,153,107.19,18.22
Z Khan,2009/10,Mumbai Indians,3,24,6,3,1,13,184.62,8.0
KM Jadhav,2009/10,Delhi Daredevils,5,76,6,7,2,56,135.71,15.2
A Mithun,2009/10,Royal Challengers Bangalore,1,5,4,1,0,4,125.0,5.0
RS Sodhi,2009/10,Kings XI Punjab,1,4,4,1,0,2,200.0,4.0
SB Styris,2011,Chennai Super Kings,1,5,4,1,0,2,250.0,5.0
YK Pathan,2011,Kolkata Knight Riders,11,283,6,24,13,200,141.5,25.73
R Bhatia,2011,Kolkata Knight Riders,6,25,4,3,0,22,113.64,4.17
TM Dilshan,2011,Royal Challengers Bangalore,10,226,6,33,3,180,125.56,22.6
V Sehwag,2011,Delhi Daredevils,11,424,6,51,18,239,177.41,38.55
AB Dinda,2011,Delhi Daredevils,1,0,0,0,0,5,0.0,0.0
RG Sharma,2011,Mumbai Indians,13,372,6,32,13,297,125.25,28.62
GC Smith,2011,Pune Warriors,4,42,4,6,0,51,82.35,10.5
M Manhas,2011,Pune Warriors,10,114,6,8,4,123,92.68,11.4
JD Ryder,2011,Pune Warriors,13,288,6,36,11,196,146.94,22.15
MS Gony,2011,Deccan Chargers,2,0,0,0,0,2,0.0,0.0
CL White,2011,Deccan Chargers,6,104,6,6,2,109,95.41,17.33
SL Malinga,2011,Mumbai Indians,2,8,6,0,1,9,88.89,4.0
L Ablish,2011,Kings XI Punjab,1,0,0,0,0,2,0.0,0.0
SB Jakati,2012,Chennai Super Kings,2,7,1,0,0,12,58.33,3.5
IK Pathan,2012,Delhi Daredevils,12,176,6,14,6,126,139.68,14.67
MK Pandey,2012,Pune Warriors,9,138,6,11,6,110,125.45,15.33
PC Valthaty,2012,Kings XI Punjab,6,30,4,4,0,51,58.82,5.0
DJ Hussey,2012,Kings XI Punjab,15,396,6,28,17,305,129.84,26.4
SS Tiwary,2012,Royal Challengers Bangalore,11,189,6,9,8,167,113.17,17.18
JD Ryder,2012,Pune Warriors,11,252,6,22,8,211,119.43,22.91
J Theron,2012,Deccan Chargers,1,7,4,1,0,6,116.67,7.0
UBT Chand,2012,Delhi Daredevils,2,36,6,2,3,34,105.88,18.0
Sunny Gupta,2012,Delhi Daredevils,1,0,0,0,0,1,0.0,0.0
YK Pathan,2013,Kolkata Knight Riders,16,331,6,30,15,239,138.49,20.69
RG Sharma,2013,Mumbai Indians,19,532,6,35,27,408,130.39,28.0
AB Dinda,2013,Pune Warriors,5,9,4,1,0,11,81.82,1.8
R Shukla,2013,Rajasthan Royals,1,1,1,0,0,2,50.0,1.0
Q de Kock,2013,Sunrisers Hyderabad,3,6,4,1,0,15,40.0,2.0
LJ Wright,2013,Pune Warriors,5,102,6,15,3,59,172.88,20.4
BB McCullum,2013,Kolkata Knight Riders,1,6,4,1,0,7,85.71,6.0
A Mukund,2013,Royal Challengers Bangalore,1,19,4,1,0,21,90.48,19.0
BAW Mendis,2013,Pune Warriors,1,2,1,0,0,4,50.0,2.0
Harmeet Singh,2013,Kings XI Punjab,1,3,2,0,0,4,75.0,3.0
YK Pathan,2014,Kolkata Knight Riders,12,268,6,15,20,165,162.42,22.33
DJ Bravo,2014,Chennai Super Kings,1,8,6,0,1,3,266.67,8.0
M Morkel,2014,Kolkata Knight Riders,1,4,2,0,0,3,133.33,4.0
AD Russell,2014,Kolkata Knight Riders,2,2,1,0,0,8,25.0,1.0
KW Richardson,2014,Rajasthan Royals,1,1,1,0,0,2,50.0,1.0
KK Cooper,2014,Rajasthan Royals,3,39,6,2,3,26,150.0,13.0
A Mishra,2015,Delhi Daredevils,4,8,2,0,0,12,66.67,2.0
JP Faulkner,2015,Rajasthan Royals,11,143,6,12,5,108,132.41,13.0
RS Bopara,2015,Sunrisers Hyderabad,8,145,6,6,6,120,120.83,18.13
HV Patel,2015,Royal Challengers Bangalore,6,19,6,0,2,12,158.33,3.17
M Vohra,2015,Kings XI Punjab,7,82,6,4,5,81,101.23,11.71
R Bhatia,2015,Rajasthan Royals,1,0,0,0,0,1,0.0,0.0
LMP Simmons,2016,Mumbai Indians,1,8,6,0,1,8,100.0,8.0
KA Pollard,2016,Mumbai Indians,12,207,6,11,16,144,143.75,17.25
Q de Kock,2016,Delhi Daredevils,13,444,6,52,13,326,136.2,34.15
S Dhawan,2023,Punjab Kings,11,368,6,48,12,258,142.64,33.45
M Shahrukh Khan,2023,Punjab Kings,12,156,6,13,9,93,167.74,13.0
SN Thakur,2023,Kolkata Knight Riders,9,113,6,13,4,70,161.43,12.56
DJ Hooda,2023,Lucknow Super Giants,12,84,6,3,2,90,93.33,7.0
A Badoni,2023,Lucknow Super Giants,12,237,6,13,12,171,138.6,19.75
D Padikkal,2023,Rajasthan Royals,11,261,6,31,6,200,130.5,23.73
C Green,2023,Mumbai Indians,16,444,6,40,21,279,159.14,27.75
M Vijay,2016,Kings XI Punjab,14,453,6,50,10,364,124.45,32.36
C Munro,2016,Kolkata Knight Riders,3,30,4,3,0,30,100.0,10.0
TG Southee,2016,Mumbai Indians,4,30,6,1,2,18,166.67,7.5
AD Nath,2016,Gujarat Lions,3,20,4,1,0,27,74.07,6.67
DR Smith,2016,Gujarat Lions,12,320,6,34,16,220,145.45,26.67
M Morkel,2016,Kolkata Knight Riders,1,1,1,0,0,1,100.0,1.0
SB Jakati,2016,Gujarat Lions,1,1,1,0,0,2,50.0,1.0
YS Chahal,2017,Royal Challengers Bangalore,6,13,2,0,0,26,50.0,2.17
PJ Cummins,2017,Delhi Daredevils,8,77,6,5,4,53,145.28,9.63
SA Yadav,2017,Kolkata Knight Riders,7,105,6,8,3,88,119.32,15.0
CR Woakes,2017,Kolkata Knight Riders,7,46,6,4,1,47,97.87,6.57
Harbhajan Singh,2017,Mumbai Indians,7,16,6,0,1,16,100.0,2.29
F du Plessis,2017,Rising Pune Supergiant,1,8,4,1,0,7,114.29,8.0
AF Milne,2017,Royal Challengers Bangalore,3,7,2,0,0,12,58.33,2.33
RA Jadeja,2017,Gujarat Lions,10,158,6,13,4,113,139.82,15.8
K Rabada,2017,Delhi Daredevils,3,55,6,5,1,64,85.94,18.33
Harbhajan Singh,2018,Chennai Super Kings,3,29,6,3,1,35,82.86,9.67
C Munro,2018,Delhi Daredevils,4,63,6,7,4,41,153.66,15.75
SS Iyer,2018,Delhi Daredevils,13,410,6,29,21,309,132.69,31.54
RK Singh,2018,Kolkata Knight Riders,4,29,4,4,0,31,93.55,7.25
K Gowtham,2018,Rajasthan Royals,13,126,6,9,9,64,196.88,9.69
DS Kulkarni,2018,Rajasthan Royals,2,6,1,0,0,7,85.71,3.0
Mujeeb Ur Rahman,2018,Kings XI Punjab,2,10,4,2,0,7,142.86,5.0
CH Gayle,2018,Kings XI Punjab,11,368,6,30,27,252,146.03,33.45
CJ Anderson,2018,Royal Challengers Bangalore,3,17,6,0,1,22,77.27,5.67
TG Southee,2018,Royal Challengers Bangalore,4,52,6,5,1,46,113.04,13.0
HV Patel,2018,Delhi Daredevils,2,60,6,1,6,33,181.82,30.0
C de Grandhomme,2019,Royal Challengers Bangalore,4,46,6,4,2,49,93.88,11.5
KMA Paul,2019,Delhi Capitals,5,18,6,1,1,24,75.0,3.6
JC Archer,2019,Rajasthan Royals,5,67,6,4,4,40,167.5,13.4
JD Unadkat,2019,Rajasthan Royals,2,1,1,0,0,3,33.33,0.5
MS Dhoni,2019,Chennai Super Kings,12,402,6,22,21,305,131.8,33.5
AJ Tye,2019,Kings XI Punjab,1,0,0,0,0,2,0.0,0.0
RG Sharma,2020/21,Mumbai Indians,12,334,6,27,19,263,127.0,27.83
Q de Kock,2020/21,Mumbai Indians,16,506,6,46,22,361,140.17,31.63
MA Agarwal,2020/21,Kings XI Punjab,11,432,6,46,15,272,158.82,39.27
TK Curran,2020/21,Rajasthan Royals,4,83,6,5,3,62,133.87,20.75
RD Gaikwad,2020/21,Chennai Super Kings,6,204,6,16,6,169,120.71,34.0
KM Jadhav,2020/21,Chennai Super Kings,5,61,4,7,0,65,93.85,12.2
Shubman Gill,2020/21,Kolkata Knight Riders,14,439,6,44,9,372,118.01,31.36
Kuldeep Yadav,2020/21,Kolkata Knight Riders,2,13,4,1,0,21,61.9,6.5
I Udana,2020/21,Royal Challengers Bangalore,4,15,6,1,1,11,136.36,3.75
KA Jamieson,2021,Royal Challengers Bangalore,7,65,6,5,3,55,118.18,9.29
RR Pant,2021,Delhi Capitals,16,422,6,43,10,328,128.66,26.38
DA Warner,2021,Sunrisers Hyderabad,8,197,6,15,6,184,107.07,24.63
MK Pandey,2021,Sunrisers Hyderabad,8,286,6,21,9,235,121.7,35.75
Ravi Bishnoi,2021,Punjab Kings,1,1,1,0,0,4,25.0,1.0
NT Ellis,2021,Punjab Kings,2,18,6,0,1,16,112.5,9.0
S Kaul,2021,Sunrisers Hyderabad,2,8,4,1,0,8,100.0,4.0
R Powell,2022,Delhi Capitals,12,250,6,10,22,167,149.7,20.83
M Shahrukh Khan,2022,Punjab Kings,8,117,6,4,9,108,108.33,14.63
DJ Hooda,2022,Lucknow Super Giants,14,451,6,36,18,329,137.08,32.21
A Badoni,2022,Lucknow Super Giants,11,161,6,11,7,130,123.85,14.64
Shubman Gill,2022,Gujarat Titans,16,479,6,50,11,362,132.32,29.94
V Shankar,2022,Gujarat Titans,4,19,4,1,0,35,54.29,4.75
SA Yadav,2022,Mumbai Indians,8,301,6,23,16,206,146.12,37.63
GJ Maxwell,2022,Royal Challengers Bangalore,13,301,6,31,15,177,170.06,23.15
HE van der Dussen,2022,Rajasthan Royals,3,22,4,2,0,24,91.67,7.33
