season,batter,batting_team,balls_faced,total_runs,fours,sixes,strike_rate
2024,SO Hetmyer,Rajasthan Royals,68,113,9,7,166.18
2024,MA Agarwal,Sunrisers Hyderabad,57,64,8,1,112.28
2024,WP Saha,Gujarat Titans,115,136,18,3,118.26
2024,S Dube,Chennai Super Kings,243,395,28,28,162.55
2024,Sumit Kumar,Delhi Capitals,24,18,2,1,75.0
2025,Abhishek Sharma,Sunrisers Hyderabad,225,439,46,28,195.11
2025,WG Jacks,Mumbai Indians,172,233,22,11,135.47
2025,Ashutosh Sharma,Delhi Capitals,126,203,14,13,161.11
2025,MM Sharma,Delhi Capitals,3,1,0,0,33.33
2024,Saurav Chauhan,Royal Challengers Bengaluru,15,18,1,1,120.0
2024,Rashid Khan,Gujarat Titans,69,98,10,3,142.03
2024,KA Maharaj,Rajasthan Royals,2,1,0,0,50.0
2024,RD Chahar,Punjab Kings,15,21,3,1,140.0
2025,TH David,Royal Challengers Bengaluru,99,177,15,13,178.79
2025,Noor Ahmad,Chennai Super Kings,17,7,0,0,41.18
2025,Avesh Khan,Lucknow Super Giants,12,21,3,1,175.0
2025,KK Nair,Delhi Capitals,114,198,24,10,173.68
2025,Rahmanullah Gurbaz,Kolkata Knight Riders,53,74,10,3,139.62
2025,CV Varun,Kolkata Knight Riders,1,1,0,0,100.0
2007/08,CL White,Royal Challengers Bangalore,100,109,7,4,109.0
2007/08,B Akhil,Royal Challengers Bangalore,31,46,4,3,148.39
2007/08,JR Hopes,Kings XI Punjab,148,221,27,8,149.32
2007/08,SK Trivedi,Rajasthan Royals,12,5,0,0,41.67
2007/08,LRPL Taylor,Royal Challengers Bangalore,81,149,13,10,183.95
2007/08,SB Styris,Deccan Chargers,122,112,9,2,91.8
2007/08,I Sharma,Kolkata Knight Riders,11,11,1,0,100.0
2007/08,DW Steyn,Royal Challengers Bangalore,5,2,0,0,40.0
2007/08,MK Pandey,Mumbai Indians,9,3,0,0,33.33
2007/08,DNT Zoysa,Deccan Chargers,9,11,1,0,122.22
2007/08,SR Tendulkar,Mumbai Indians,177,188,26,2,106.21
2007/08,SP Goswami,Royal Challengers Bangalore,85,82,9,1,96.47
2007/08,VS Yeligati,Mumbai Indians,2,2,0,0,100.0
2009,MC Henriques,Kolkata Knight Riders,40,38,2,1,95.0
2009,AM Rahane,Mumbai Indians,121,143,12,3,118.18
