bowler,season,bowling_team,matches,balls_bowled,runs_conceded,wickets,economy,bowling_avg,strike_rate
AS Joseph,2024,Royal Challengers Bengaluru,3,58,108,1,11.17,108.0,58.0
Harpreet Brar,2024,Punjab Kings,13,228,297,7,7.82,42.43,32.57
Naveen-ul-Haq,2024,Lucknow Super Giants,10,219,356,14,9.75,25.43,15.64
MR Marsh,2024,Delhi Capitals,3,48,97,1,12.13,97.0,48.0
SH Johnson,2024,Gujarat Titans,5,96,148,4,9.25,37.0,24.0
HH Pandya,2024,Mumbai Indians,12,216,377,11,10.47,34.27,19.64
Naman Dhir,2024,Mumbai Indians,3,28,54,0,11.57,,
Arjun Tendulkar,2024,Mumbai Indians,1,14,21,0,9.0,,
Suyash Sharma,2025,Royal Challengers Bengaluru,14,300,433,8,8.66,54.13,37.5
CV Varun,2025,Kolkata Knight Riders,13,300,375,17,7.5,22.06,17.65
R Ashwin,2025,Chennai Super Kings,9,186,280,6,9.03,46.67,31.0
TA Boult,2025,Mumbai Indians,16,346,502,22,8.71,22.82,15.73
AR Patel,2025,Delhi Capitals,12,216,310,5,8.61,62.0,43.2
V Nigam,2025,Delhi Capitals,13,234,340,10,8.72,34.0,23.4
M Jansen,2025,Punjab Kings,14,283,417,16,8.84,26.06,17.69
MM Ali,2025,Kolkata Knight Riders,5,96,133,6,8.31,22.17,16.0
MP Yadav,2025,Lucknow Super Giants,2,48,95,2,11.88,47.5,24.0
KT Maphaka,2025,Rajasthan Royals,2,30,52,1,10.4,52.0,30.0
W O'Rourke,2025,Lucknow Super Giants,3,62,129,6,12.48,21.5,10.33
S Ladda,2016,Gujarat Lions,1,12,21,0,10.5,,
PV Tambe,2016,Gujarat Lions,7,96,142,5,8.88,28.4,19.2
BB Sran,2016,Sunrisers Hyderabad,14,297,398,14,8.04,28.43,21.21
KJ Abbott,2016,Kings XI Punjab,5,96,169,2,10.56,84.5,48.0
Ankit Sharma,2016,Rising Pune Supergiants,3,66,78,1,7.09,78.0,66.0
Bipul Sharma,2016,Sunrisers Hyderabad,6,84,121,3,8.64,40.33,28.0
STR Binny,2016,Royal Challengers Bangalore,11,102,132,1,7.76,132.0,102.0
T Shamsi,2016,Royal Challengers Bangalore,4,96,147,3,9.19,49.0,32.0
Anureet Singh,2016,Kings XI Punjab,2,36,35,0,5.83,,
Bipul Sharma,2017,Sunrisers Hyderabad,7,98,127,3,7.78,42.33,32.67
SP Narine,2017,Kolkata Knight Riders,15,354,394,10,6.68,39.4,35.4
I Sharma,2017,Kings XI Punjab,6,108,172,0,9.56,,
Avesh Khan,2017,Royal Challengers Bangalore,1,24,23,1,5.75,23.0,24.0
DL Chahar,2018,Chennai Super Kings,12,229,258,10,6.76,25.8,22.9
AJ Tye,2018,Kings XI Punjab,14,336,430,24,7.68,17.92,14.0
UT Yadav,2018,Royal Challengers Bangalore,14,319,405,20,7.62,20.25,15.95
JC Archer,2018,Rajasthan Royals,10,233,309,15,7.96,20.6,15.53
MK Tiwary,2018,Kings XI Punjab,1,6,7,0,7.0,,
Anureet Singh,2018,Rajasthan Royals,3,24,42,1,10.5,42.0,24.0
KK Ahmed,2018,Sunrisers Hyderabad,1,18,37,0,12.33,,
TA Boult,2019,Delhi Capitals,5,114,156,5,8.21,31.2,22.8
S Lamichhane,2019,Delhi Capitals,6,138,210,8,9.13,26.25,17.25
STR Binny,2019,Rajasthan Royals,5,42,43,1,6.14,43.0,42.0
MM Sharma,2019,Chennai Super Kings,1,18,27,1,9.0,27.0,18.0
J Suchith,2019,Delhi Capitals,1,24,28,2,7.0,14.0,12.0
K Gowtham,2020/21,Kings XI Punjab,2,48,84,1,10.5,84.0,48.0
UT Yadav,2020/21,Royal Challengers Bangalore,2,42,79,0,11.29,,
S Dube,2020/21,Royal Challengers Bangalore,5,54,72,4,8.0,18.0,13.5
TU Deshpande,2020/21,Delhi Capitals,5,102,183,3,10.76,61.0,34.0
RA Jadeja,2021,Chennai Super Kings,16,294,334,13,6.82,25.69,22.62
Rashid Khan,2021,Sunrisers Hyderabad,14,342,369,18,6.47,20.5,19.0
CV Varun,2021,Kolkata Knight Riders,17,408,440,18,6.47,24.44,22.67
R Parag,2021,Rajasthan Royals,6,37,71,1,11.51,71.0,37.0
Abhishek Sharma,2021,Sunrisers Hyderabad,6,60,61,4,6.1,15.25,15.0
Lalit Yadav,2021,Delhi Capitals,5,84,101,4,7.21,25.25,21.0
DR Sams,2021,Royal Challengers Bangalore,2,36,37,1,6.17,37.0,36.0
Kartik Tyagi,2021,Rajasthan Royals,4,84,112,4,8.0,28.0,21.0
AK Markram,2021,Punjab Kings,2,24,22,0,5.5,,
PP Chawla,2021,Mumbai Indians,1,24,38,1,9.5,38.0,24.0
Kuldeep Yadav,2022,Delhi Capitals,14,298,411,21,8.28,19.57,14.19
LS Livingstone,2022,Punjab Kings,12,138,196,6,8.52,32.67,23.0
NM Coulter-Nile,2022,Rajasthan Royals,1,18,46,0,15.33,,
R Ashwin,2022,Rajasthan Royals,17,402,481,12,7.18,40.08,33.5
AK Markram,2022,Sunrisers Hyderabad,4,36,64,1,10.67,64.0,36.0
NT Ellis,2022,Punjab Kings,2,36,51,3,8.5,17.0,12.0
K Kartikeya,2022,Mumbai Indians,4,78,102,5,7.85,20.4,15.6
MR Marsh,2022,Delhi Capitals,4,72,98,4,8.17,24.5,18.0
PH Solanki,2022,Chennai Super Kings,2,36,38,2,6.33,19.0,18.0
HH Pandya,2023,Gujarat Titans,11,150,222,3,8.88,74.0,50.0
AS Joseph,2023,Gujarat Titans,7,144,219,7,9.13,31.29,20.57
DL Chahar,2023,Chennai Super Kings,10,204,286,13,8.41,22.0,15.69
UT Yadav,2023,Kolkata Knight Riders,8,114,187,1,9.84,187.0,114.0
KM Asif,2023,Rajasthan Royals,4,84,129,3,9.21,43.0,28.0
RP Meredith,2023,Mumbai Indians,5,118,192,7,9.76,27.43,16.86
Gurnoor Brar,2023,Punjab Kings,1,18,38,0,12.67,,
B Lee,2007/08,Kings XI Punjab,4,96,104,4,6.5,26.0,24.0
Harbhajan Singh,2007/08,Mumbai Indians,3,60,79,5,7.9,15.8,12.0
AM Nayar,2007/08,Mumbai Indians,5,42,67,1,9.57,67.0,42.0
SB Styris,2007/08,Deccan Chargers,8,162,194,3,7.19,64.67,54.0
A Symonds,2007/08,Deccan Chargers,3,41,94,0,13.76,,
Shahid Afridi,2007/08,Deccan Chargers,10,180,220,9,7.33,24.44,20.0
DJ Thornely,2007/08,Mumbai Indians,4,42,38,3,5.43,12.67,14.0
Shoaib Akhtar,2007/08,Kolkata Knight Riders,3,42,50,5,7.14,10.0,8.4
RR Powar,2007/08,Kings XI Punjab,5,72,86,3,7.17,28.67,24.0
LPC Silva,2007/08,Deccan Chargers,1,6,21,0,21.0,,
Z Khan,2009,Mumbai Indians,6,126,135,6,6.43,22.5,21.0
MM Patel,2009,Rajasthan Royals,11,209,219,16,6.29,13.69,13.06
PP Chawla,2009,Kings XI Punjab,14,269,303,12,6.76,25.25,22.42
