season,bowler,bowling_team,balls_bowled,runs_conceded,wickets,economy
2024,R Ashwin,Rajasthan Royals,330,439,9,7.98
2024,SM Curran,Punjab Kings,246,404,16,9.85
2024,Arshdeep Singh,Punjab Kings,302,481,19,9.56
2024,Mohsin Khan,Lucknow Super Giants,228,375,10,9.87
2024,MP Stoinis,Lucknow Super Giants,84,119,4,8.5
2024,LS Livingstone,Punjab Kings,72,81,3,6.75
2024,LH Ferguson,Royal Challengers Bengaluru,144,248,9,10.33
2025,JR Hazlewood,Royal Challengers Bengaluru,264,380,22,8.64
2025,SH Johnson,Kolkata Knight Riders,68,128,1,11.29
2025,MJ Santner,Mumbai Indians,237,302,9,7.65
2025,DS Rathi,Lucknow Super Giants,312,415,14,7.98
2025,PWH de Silva,Rajasthan Royals,246,366,11,8.93
2025,PHKD Mendis,Sunrisers Hyderabad,42,60,2,8.57
2025,M Shahrukh Khan,Gujarat Titans,6,13,1,13.0
2007/08,SR Watson,Rajasthan Royals,325,361,17,6.66
2007/08,Shahid Afridi,Deccan Chargers,180,220,9,7.33
2007/08,Sohail Tanvir,Rajasthan Royals,247,246,22,5.98
2007/08,CK Kapugedera,Chennai Super Kings,17,49,0,17.29
2007/08,BAW Mendis,Kolkata Knight Riders,24,24,1,6.0
2009,JDP Oram,Chennai Super Kings,93,126,5,8.13
2009,AM Salvi,Delhi Daredevils,102,126,4,7.41
2009,SC Ganguly,Kolkata Knight Riders,72,96,2,8.0
2009,JA Morkel,Chennai Super Kings,240,309,13,7.73
2009,DS Kulkarni,Mumbai Indians,156,198,5,7.62
2009,Shoaib Ahmed,Deccan Chargers,102,151,5,8.88
2009,R Bhatia,Delhi Daredevils,130,142,10,6.55
2009,A Mithun,Royal Challengers Bangalore,24,39,0,9.75
2009,R Ashwin,Chennai Super Kings,24,13,2,3.25
2009/10,RP Singh,Deccan Chargers,252,354,13,8.43
2009/10,A Symonds,Deccan Chargers,318,365,12,6.89
2009/10,AD Mathews,Kolkata Knight Riders,225,309,8,8.24
2009/10,Kamran Khan,Rajasthan Royals,36,51,3,8.5
2009/10,YK Pathan,Rajasthan Royals,204,236,5,6.94
2009/10,ST Jayasuriya,Mumbai Indians,54,63,2,7.0
2009/10,S Sreesanth,Kings XI Punjab,114,171,3,9.0
2009/10,SJ Srivastava,Kings XI Punjab,162,239,6,8.85
2009/10,MK Tiwary,Kolkata Knight Riders,6,10,1,10.0
2011,SK Trivedi,Rajasthan Royals,214,284,10,7.96
2011,SK Warne,Rajasthan Royals,282,290,13,6.17
2011,I Sharma,Deccan Chargers,264,301,11,6.84
2011,SL Malinga,Mumbai Indians,378,348,28,5.52
2011,M Kartik,Pune Warriors,125,157,1,7.54
2011,R McLaren,Kings XI Punjab,108,168,5,9.33
2011,S Nadeem,Delhi Daredevils,114,141,4,7.42
2011,JJ van der Wath,Royal Challengers Bangalore,72,125,3,10.42
2011,RR Powar,Kochi Tuskers Kerala,72,112,2,9.33
2011,JR Hopes,Delhi Daredevils,192,266,7,8.31
2012,V Kohli,Royal Challengers Bangalore,18,49,0,16.33
2012,TM Dilshan,Royal Challengers Bangalore,42,75,0,10.71
2012,R Shukla,Mumbai Indians,18,30,0,10.0
2013,I Sharma,Sunrisers Hyderabad,358,443,15,7.42
2013,S Badree,Rajasthan Royals,24,33,0,8.25
2013,SK Trivedi,Rajasthan Royals,359,400,12,6.69
2013,SW Tait,Rajasthan Royals,60,84,1,8.4
2013,KV Sharma,Sunrisers Hyderabad,209,228,11,6.55
2013,AG Murtaza,Pune Warriors,60,92,3,9.2
2013,SK Raina,Chennai Super Kings,12,23,1,11.5
2014,S Nadeem,Delhi Daredevils,228,299,8,7.87
2014,I Sharma,Sunrisers Hyderabad,66,99,3,9.0
2014,LMP Simmons,Mumbai Indians,18,34,1,11.33
2014,MK Tiwary,Delhi Daredevils,12,28,0,14.0
2014,PJ Cummins,Kolkata Knight Riders,24,29,1,7.25
2015,Harbhajan Singh,Mumbai Indians,342,436,18,7.65
2015,DJ Bravo,Chennai Super Kings,314,410,26,7.83
2015,TG Southee,Rajasthan Royals,168,239,6,8.54
2015,JP Faulkner,Rajasthan Royals,270,415,8,9.22
2015,SR Watson,Rajasthan Royals,174,245,6,8.45
2015,J Botha,Kolkata Knight Riders,60,79,1,7.9
2015,M de Lange,Mumbai Indians,24,24,0,6.0
2015,Azhar Mahmood,Kolkata Knight Riders,18,35,0,11.67
2016,RP Singh,Rising Pune Supergiants,72,106,3,8.83
2016,MJ McClenaghan,Mumbai Indians,320,420,17,7.88
2016,JP Faulkner,Gujarat Lions,102,160,2,9.41
2016,HV Patel,Royal Challengers Bangalore,84,137,1,9.79
2016,Kuldeep Yadav,Kolkata Knight Riders,72,94,6,7.83
2017,B Kumar,Sunrisers Hyderabad,314,357,26,6.82
2017,BA Stokes,Rising Pune Supergiant,264,305,12,6.93
2017,P Kumar,Gujarat Lions,99,140,6,8.48
2017,Sandeep Sharma,Kings XI Punjab,288,386,17,8.04
2017,Tejas Baroka,Gujarat Lions,21,33,0,9.43
2017,GJ Maxwell,Kings XI Punjab,114,124,7,6.53
2017,LH Ferguson,Rising Pune Supergiant,78,84,3,6.46
2017,Mohammed Shami,Delhi Daredevils,156,230,5,8.85
2018,SR Watson,Chennai Super Kings,168,243,6,8.68
2018,DJ Bravo,Chennai Super Kings,321,516,14,9.64
2018,Mustafizur Rahman,Mumbai Indians,165,227,7,8.25
2018,S Gopal,Rajasthan Royals,186,234,11,7.55
2018,Mohammed Siraj,Royal Challengers Bangalore,246,345,11,8.41
2018,LE Plunkett,Delhi Daredevils,150,221,4,8.84
2018,L Ngidi,Chennai Super Kings,156,149,11,5.73
2018,Ankit Sharma,Rajasthan Royals,6,11,0,11.0
2018,JPR Scantlebury-Searles,Kolkata Knight Riders,42,86,2,12.29
2018,S Lamichhane,Delhi Daredevils,72,81,5,6.75
2019,Imran Tahir,Chennai Super Kings,386,426,26,6.62
2019,RA Jadeja,Chennai Super Kings,324,341,15,6.31
2019,B Kumar,Sunrisers Hyderabad,354,445,13,7.54
2019,HH Pandya,Mumbai Indians,255,375,14,8.82
2019,AJ Tye,Kings XI Punjab,132,228,3,10.36
2019,KK Ahmed,Sunrisers Hyderabad,209,274,19,7.87
2019,Y Prithvi Raj,Kolkata Knight Riders,30,54,1,10.8
2019,BB Sran,Mumbai Indians,24,50,0,12.5
2020/21,MP Stoinis,Delhi Capitals,178,276,13,9.3
2020/21,Sandeep Sharma,Sunrisers Hyderabad,312,369,14,7.1
2020/21,Kuldeep Yadav,Kolkata Knight Riders,72,89,1,7.42
2021,CR Woakes,Delhi Capitals,66,80,5,7.27
2021,RP Meredith,Punjab Kings,102,155,4,9.12
2021,GHS Garton,Royal Challengers Bangalore,90,127,3,8.47
2022,Basil Thampi,Mumbai Indians,96,146,5,9.13
2022,T Natarajan,Sunrisers Hyderabad,258,387,18,9.0
2022,Navdeep Saini,Rajasthan Royals,36,65,3,10.83
2022,R Tewatia,Gujarat Titans,36,76,0,12.67
2022,JO Holder,Lucknow Super Giants,249,374,14,9.01
2022,DJ Mitchell,Rajasthan Royals,12,26,0,13.0
2022,K Kartikeya,Mumbai Indians,78,102,5,7.85
2022,R Sanjay Yadav,Mumbai Indians,12,21,0,10.5
2023,HH Pandya,Gujarat Titans,150,222,3,8.88
2023,DL Chahar,Chennai Super Kings,204,286,13,8.41
2023,Arshdeep Singh,Punjab Kings,305,474,17,9.32
2023,KM Asif,Rajasthan Royals,84,129,3,9.21
2023,HV Patel,Royal Challengers Bangalore,282,423,14,9.0
2023,BA Stokes,Chennai Super Kings,6,18,0,18.0
2023,A Mishra,Lucknow Super Giants,114,148,7,7.79
2023,SSB Magala,Chennai Super Kings,36,50,1,8.33
2023,M Markande,Sunrisers Hyderabad,228,297,12,7.82
2023,AD Russell,Kolkata Knight Riders,91,155,7,10.22
2023,N Rana,Kolkata Knight Riders,53,74,3,8.38
2024,M Markande,Sunrisers Hyderabad,132,248,7,11.27
2024,Harshit Rana,Kolkata Knight Riders,253,372,19,8.82
2024,AD Russell,Kolkata Knight Riders,176,283,19,9.65
2024,CV Varun,Kolkata Knight Riders,300,392,21,7.84
2024,Yash Dayal,Royal Challengers Bengaluru,301,433,15,8.63
2024,Mayank Dagar,Royal Challengers Bengaluru,71,115,1,9.72
2024,Noor Ahmad,Gujarat Titans,209,284,8,8.15
2024,MM Sharma,Gujarat Titans,234,408,13,10.46
2024,Washington Sundar,Sunrisers Hyderabad,30,73,1,14.6
2024,DL Chahar,Chennai Super Kings,141,197,5,8.38
2024,Yash Thakur,Lucknow Super Giants,213,390,11,10.99
2024,Arshad Khan,Lucknow Super Giants,49,82,1,10.04
2024,MJ Henry,Lucknow Super Giants,72,108,1,9.0
2024,A Badoni,Lucknow Super Giants,12,25,0,12.5
2025,LS Livingstone,Royal Challengers Bengaluru,54,76,2,8.44
2025,R Ashwin,Chennai Super Kings,186,280,6,9.03
2025,T Stubbs,Delhi Capitals,12,40,0,20.0
2025,Arshdeep Singh,Punjab Kings,350,496,21,8.5
2025,PWA Mulder,Sunrisers Hyderabad,6,16,0,16.0
2025,Shashank Singh,Punjab Kings,12,27,0,13.5
2025,A Nortje,Kolkata Knight Riders,42,76,1,10.86
2025,C Bosch,Mumbai Indians,42,52,1,7.43
2025,G Coetzee,Gujarat Titans,72,127,2,10.58
2025,Akash Singh,Lucknow Super Giants,67,99,4,8.87
2025,DJ Hooda,Chennai Super Kings,6,14,0,14.0
2007/08,Z Khan,Royal Challengers Bangalore,252,347,13,8.26
2007/08,LR Shukla,Kolkata Knight Riders,72,111,6,9.25
2007/08,M Ntini,Chennai Super Kings,210,237,7,6.77
2009,MM Patel,Rajasthan Royals,209,219,16,6.29
2009,JD Ryder,Royal Challengers Bangalore,102,113,3,6.65
2009,VS Malik,Kings XI Punjab,72,96,2,8.0
2009,I Sharma,Kolkata Knight Riders,258,274,11,6.37
2009,M Muralitharan,Chennai Super Kings,300,257,14,5.14
2009,A Nehra,Delhi Daredevils,306,320,19,6.27
2009,Pankaj Singh,Royal Challengers Bangalore,42,62,2,8.86
2009,BJ Hodge,Kolkata Knight Riders,120,153,7,7.65
2009,AM Nayar,Mumbai Indians,72,79,4,6.58
2009,SK Trivedi,Rajasthan Royals,120,148,6,7.4
2009,C Nanda,Mumbai Indians,48,55,2,6.88
2009,DJ Hussey,Kolkata Knight Riders,24,33,0,8.25
2009/10,MF Maharoof,Delhi Daredevils,144,196,8,8.17
2009/10,Yuvraj Singh,Kings XI Punjab,138,151,5,6.57
2009/10,VS Malik,Kings XI Punjab,43,58,1,8.09
2009/10,AN Ahmed,Mumbai Indians,12,20,0,10.0
2009/10,DS Kulkarni,Mumbai Indians,24,35,1,8.75
2011,BA Bhatt,Kings XI Punjab,167,223,9,8.01
2011,VR Aaron,Delhi Daredevils,72,77,2,6.42
2011,TL Suman,Mumbai Indians,36,50,0,8.33
2011,Y Gnaneswara Rao,Kochi Tuskers Kerala,6,7,0,7.0
2012,IK Pathan,Delhi Daredevils,360,459,8,7.65
2012,S Nadeem,Delhi Daredevils,270,313,8,6.96
2012,Iqbal Abdulla,Kolkata Knight Riders,132,140,4,6.36
2012,M Kartik,Pune Warriors,216,251,4,6.97
2012,MN Samuels,Pune Warriors,172,211,8,7.36
2012,B Kumar,Pune Warriors,234,270,8,6.92
2012,SK Trivedi,Rajasthan Royals,312,352,13,6.77
2012,Z Khan,Royal Challengers Bangalore,360,442,17,7.37
2012,F du Plessis,Chennai Super Kings,6,16,0,16.0
2012,RJ Harris,Kings XI Punjab,108,129,8,7.17
2012,RG Sharma,Mumbai Indians,6,16,0,16.0
2012,AG Murtaza,Pune Warriors,12,11,0,5.5
2013,MM Patel,Mumbai Indians,90,136,3,9.07
2013,Harbhajan Singh,Mumbai Indians,420,439,24,6.27
2013,KA Pollard,Mumbai Indians,186,281,10,9.06
2013,TM Dilshan,Royal Challengers Bangalore,6,10,0,10.0
2013,S Kaul,Delhi Daredevils,131,164,4,7.51
2013,R Dhawan,Mumbai Indians,90,103,2,6.87
2013,S Ladda,Kolkata Knight Riders,12,18,1,9.0
2013,KW Richardson,Pune Warriors,71,99,2,8.37
2013,S Narwal,Kolkata Knight Riders,12,15,0,7.5
2013,Parvez Rasool,Pune Warriors,30,28,1,5.6
2014,CJ Anderson,Mumbai Indians,108,177,4,9.83
2014,R Vinay Kumar,Kolkata Knight Riders,192,279,7,8.72
2014,Sandeep Sharma,Kings XI Punjab,241,329,18,8.19
2014,SR Watson,Rajasthan Royals,126,157,7,7.48
2014,S Badree,Chennai Super Kings,84,90,2,6.43
2014,M de Lange,Mumbai Indians,24,29,2,7.25
2015,M Morkel,Kolkata Knight Riders,168,200,10,7.14
2015,SL Malinga,Mumbai Indians,360,422,24,7.03
2015,NM Coulter-Nile,Delhi Daredevils,255,312,15,7.34
2015,YS Chahal,Royal Challengers Bangalore,281,413,22,8.82
2015,AD Mathews,Delhi Daredevils,180,241,7,8.03
