match_id,season,date,venue,city,batting_team,bowling_team,toss_winner,toss_decision,match_won_by,win_outcome,player_of_match,stage
335982,2007/08,18-04-2008,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,140 runs,BB McCullum,
335983,2007/08,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,33 runs,MEK Hussey,
335984,2007/08,19-04-2008,Feroz Shah Kotla,Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,9 wickets,MF Maharoof,
335985,2007/08,20-04-2008,Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,5 wickets,MV Boucher,
335986,2007/08,20-04-2008,Eden Gardens,Kolkata,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Kolkata Knight Riders,5 wickets,DJ Hussey,
335987,2007/08,21-04-2008,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals,6 wickets,SR Watson,
335988,2007/08,22-04-2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,9 wickets,V Sehwag,
335989,2007/08,23-04-2008,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6 runs,ML Hayden,
335989,2007/08,23-04-2008,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6 runs,ML Hayden,
335990,2007/08,24-04-2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,3 wickets,YK Pathan,
335991,2007/08,25-04-2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,66 runs,KC Sangakkara,
