season,batting_team,match_id,powerplay_runs,powerplay_wickets,death_runs,death_wickets,middle_runs,middle_wickets
2024,Lucknow Super Giants,1426264,57,2,46,0,64,5
2024,Mumbai Indians,1426276,45,3,28,5,106,1
2025,Royal Challengers Bengaluru,1473445,56,1,43,3,97,3
2025,Kolkata Knight Riders,1473452,53,2,66,1,81,2
2025,Punjab Kings,1473464,89,1,58,2,98,3
2025,Royal Challengers Bengaluru,1473489,71,0,62,2,80,3
2007/08,Royal Challengers Bangalore,335992,57,2,27,0,51,4
2007/08,Kolkata Knight Riders,335997,40,3,44,1,53,3
2007/08,Kolkata Knight Riders,336014,43,1,68,2,93,0
2007/08,Delhi Daredevils,336015,47,1,55,1,54,4
2007/08,Royal Challengers Bangalore,336016,50,3,25,2,68,2
2007/08,Delhi Daredevils,336022,68,0,0,0,50,4
2007/08,Rajasthan Royals,336023,51,0,46,0,100,1
2007/08,Royal Challengers Bangalore,336029,23,2,39,3,64,3
2007/08,Kings XI Punjab,336019,51,0,70,1,100,1
2009,Royal Challengers Bangalore,392182,29,3,45,2,59,3
2009,Delhi Daredevils,392237,49,2,33,3,71,1
2009/10,Kolkata Knight Riders,419122,41,0,37,2,77,1
2009/10,Chennai Super Kings,419125,51,2,44,0,85,0
2009/10,Kings XI Punjab,419143,52,1,21,1,80,3
2009/10,Chennai Super Kings,419155,39,3,35,2,38,3
2011,Chennai Super Kings,501215,42,1,14,0,75,2
2011,Royal Challengers Bangalore,501232,57,0,47,3,77,2
2011,Royal Challengers Bangalore,501244,48,1,42,3,115,2
2011,Rajasthan Royals,501252,43,0,27,3,76,2
2011,Kings XI Punjab,501257,43,1,36,3,91,2
2012,Chennai Super Kings,548311,44,2,60,1,89,3
2012,Rajasthan Royals,548320,45,0,30,2,56,2
2012,Kings XI Punjab,548328,45,1,28,3,51,2
2012,Chennai Super Kings,548330,42,0,48,3,74,2
2012,Royal Challengers Bangalore,548367,40,1,49,1,82,2
2013,Royal Challengers Bangalore,598068,76,1,0,0,30,1
2014,Chennai Super Kings,733971,43,1,15,0,90,2
2014,Delhi Daredevils,733981,46,1,48,0,84,3
2014,Sunrisers Hyderabad,734015,41,2,28,2,73,3
2014,Royal Challengers Bangalore,734021,25,2,36,2,99,1
2014,Rajasthan Royals,734041,35,1,48,1,106,2
2015,Chennai Super Kings,829707,59,2,31,2,60,3
2015,Chennai Super Kings,829735,39,2,43,0,74,2
2015,Rajasthan Royals,829741,43,0,49,3,99,3
2015,Chennai Super Kings,829789,44,1,50,0,64,3
2016,Rising Pune Supergiants,980911,57,1,29,2,77,2
2016,Kolkata Knight Riders,980963,40,0,36,0,88,0
2017,Delhi Daredevils,1082626,25,3,2,2,40,5
2017,Kings XI Punjab,1082641,71,1,40,0,119,2
2017,Rising Pune Supergiant,1082647,33,2,53,0,76,1
2018,Mumbai Indians,1136567,54,3,26,3,67,2
2018,Kings XI Punjab,1136568,50,3,28,3,77,4
2018,Chennai Super Kings,1136577,69,1,39,1,96,3
2018,Delhi Daredevils,1136612,39,1,52,0,71,4
2019,Rajasthan Royals,1178396,28,1,33,0,78,2
2019,Mumbai Indians,1178409,57,0,58,1,53,3
2019,Mumbai Indians,1178419,45,1,34,1,76,2
2019,Mumbai Indians,1181768,45,2,39,2,65,3
2020/21,Kings XI Punjab,1216510,50,0,74,0,82,3
2020/21,Delhi Capitals,1216519,63,0,53,1,80,3
2020/21,Delhi Capitals,1216546,53,1,38,2,73,2
2020/21,Kolkata Knight Riders,1216536,48,0,47,2,77,3
2021,Delhi Capitals,1254077,51,0,32,2,76,1
2021,Sunrisers Hyderabad,1254080,39,1,50,2,82,0
2021,Royal Challengers Bangalore,1254087,41,2,13,2,38,5
2021,Royal Challengers Bangalore,1254113,55,0,25,5,76,1
2021,Kolkata Knight Riders,1254102,48,1,40,2,77,3
2022,Royal Challengers Bangalore,1304082,31,4,0,1,37,5
2022,Lucknow Super Giants,1304088,39,1,42,2,72,4
2023,Mumbai Indians,1359479,29,3,60,1,82,3
2023,Chennai Super Kings,1359515,57,0,42,2,101,2
2023,Kolkata Knight Riders,1359521,49,3,34,2,88,3
2023,Gujarat Titans,1359525,78,0,43,0,106,2
2024,Rajasthan Royals,1422122,54,2,44,1,95,1
2024,Gujarat Titans,1426283,42,1,52,0,106,2
2024,Delhi Capitals,1426294,78,1,57,2,86,3
2025,Rajasthan Royals,1473443,54,1,39,3,58,5
2025,Gujarat Titans,1473446,66,0,45,3,85,3
2025,Kolkata Knight Riders,1473449,41,4,6,1,69,5
2025,Gujarat Titans,1473460,56,1,54,3,107,2
2025,Mumbai Indians,1473466,59,1,51,1,95,3
2025,Gujarat Titans,1473476,45,0,47,2,106,1
2025,Kolkata Knight Riders,1473490,56,1,70,1,80,2
2025,Punjab Kings,1473495,69,0,0,0,53,1
2007/08,Rajasthan Royals,335984,40,1,23,1,66,4
2007/08,Chennai Super Kings,336005,38,4,13,3,58,3
2007/08,Deccan Chargers,336037,26,2,43,4,78,1
2009,Kolkata Knight Riders,392184,21,3,27,2,53,4
2009,Kings XI Punjab,392186,46,1,35,1,77,3
2009,Deccan Chargers,392192,55,0,26,4,87,4
2009,Royal Challengers Bangalore,392204,38,2,41,3,66,4
2009,Deccan Chargers,392212,37,2,42,1,66,2
2009,Deccan Chargers,392216,52,1,55,0,61,3
2009,Delhi Daredevils,392226,38,1,16,4,66,3
2009/10,Rajasthan Royals,419115,31,1,12,5,49,2
2009/10,Kolkata Knight Riders,419144,50,0,51,0,80,2
2009/10,Kolkata Knight Riders,419148,61,1,27,3,72,3
2009/10,Mumbai Indians,419161,42,2,39,2,52,3
2011,Kings XI Punjab,501202,36,4,36,2,40,1
2011,Rajasthan Royals,501214,36,2,0,0,45,6
2011,Chennai Super Kings,501226,45,0,33,4,64,2
2011,Mumbai Indians,501237,35,1,34,3,90,1
2011,Kolkata Knight Riders,501267,46,1,51,2,78,1
2012,Rajasthan Royals,548312,37,0,39,2,88,1
2012,Mumbai Indians,548325,23,2,12,2,57,5
2012,Kings XI Punjab,548339,44,1,52,0,72,2
2012,Delhi Daredevils,548342,54,0,50,2,103,3
2012,Rajasthan Royals,548349,56,0,26,1,59,5
2012,Delhi Daredevils,548357,50,2,39,3,64,1
2012,Kings XI Punjab,548369,47,2,30,1,59,3
2013,Kings XI Punjab,598014,34,2,32,2,58,4
2013,Pune Warriors,598025,48,0,57,2,80,2
2013,Rajasthan Royals,598026,55,0,47,1,83,3
2013,Royal Challengers Bangalore,598027,62,0,62,3,139,1
2013,Mumbai Indians,598037,36,1,60,0,78,2
2013,Sunrisers Hyderabad,598065,21,3,32,3,83,1
2013,Sunrisers Hyderabad,598071,27,2,44,1,61,2
2014,Chennai Super Kings,729293,34,1,58,3,85,2
2014,Royal Challengers Bangalore,729305,22,4,0,0,48,5
2014,Mumbai Indians,729309,37,1,45,0,43,3
2014,Sunrisers Hyderabad,734037,49,1,35,2,76,1
2014,Delhi Daredevils,734039,44,3,8,4,63,2
2014,Kings XI Punjab,734049,32,2,59,2,108,0
2015,Royal Challengers Bangalore,829719,47,1,41,5,78,4
2015,Kings XI Punjab,829733,48,3,40,3,67,2
2015,Delhi Daredevils,829739,34,2,41,2,71,3
2015,Rajasthan Royals,829749,48,2,21,4,61,2
2016,Delhi Daredevils,980951,37,3,55,4,94,0
2016,Royal Challengers Bangalore,980959,40,1,60,3,85,2
2016,Sunrisers Hyderabad,981003,46,0,38,1,74,3
2017,Kolkata Knight Riders,1082604,40,2,36,3,96,1
2017,Sunrisers Hyderabad,1082609,29,1,44,2,86,3
2017,Sunrisers Hyderabad,1082611,39,1,43,3,109,0
2017,Gujarat Lions,1082625,48,3,51,1,54,4
2017,Royal Challengers Bangalore,1082628,52,2,40,2,70,3
2017,Sunrisers Hyderabad,1082630,66,1,59,0,60,2
2017,Gujarat Lions,1082643,61,0,20,5,73,5
2018,Delhi Daredevils,1136596,60,0,30,1,73,2
2019,Kings XI Punjab,1178399,50,0,59,2,88,2
2019,Kings XI Punjab,1178403,60,0,46,0,67,4
2019,Kolkata Knight Riders,1178404,49,1,19,2,93,4
2019,Delhi Capitals,1178421,59,1,56,1,72,3
2019,Royal Challengers Bangalore,1178424,62,7,0,0,0,0
2020/21,Royal Challengers Bangalore,1216540,47,0,65,0,82,2
2020/21,Delhi Capitals,1237181,41,3,31,2,84,1
2021,Sunrisers Hyderabad,1254091,41,1,32,3,61,3
2022,Mumbai Indians,1304048,53,0,54,1,70,4
2022,Mumbai Indians,1304060,35,1,63,1,63,2
2022,Punjab Kings,1304062,43,2,34,1,112,5
2022,Chennai Super Kings,1304063,41,2,41,2,72,3
2022,Royal Challengers Bangalore,1312198,52,1,57,0,98,3
2023,Royal Challengers Bangalore,1359501,59,0,37,4,78,0
2023,Gujarat Titans,1359504,40,1,38,2,57,3
2023,Royal Challengers Bangalore,1359517,42,0,27,4,57,4
2023,Lucknow Super Giants,1359519,31,3,42,2,52,2
2023,Punjab Kings,1359527,58,3,48,2,73,2
2023,Kolkata Knight Riders,1359530,37,2,22,4,90,2
2023,Sunrisers Hyderabad,1359532,56,2,37,1,89,3
2023,Chennai Super Kings,1359541,52,0,56,2,115,1
2024,Mumbai Indians,1426271,54,1,44,4,94,1
2024,Delhi Capitals,1426281,92,0,58,1,107,3
2024,Chennai Super Kings,1426291,60,1,45,3,62,5
2024,Rajasthan Royals,1426299,42,0,38,2,61,3
2024,Delhi Capitals,1426302,73,1,54,1,81,2
2025,Rajasthan Royals,1473448,79,1,29,3,74,4
2025,Lucknow Super Giants,1473453,69,0,44,4,90,4
2025,Gujarat Titans,1473484,53,0,51,3,105,1
2025,Gujarat Titans,1473488,82,0,52,4,90,1
2025,Punjab Kings,1473497,58,3,60,0,101,2
2025,Sunrisers Hyderabad,1473505,79,0,59,1,140,2
2025,Mumbai Indians,1473510,65,1,47,2,91,3
2007/08,Chennai Super Kings,335983,53,1,71,0,116,4
2007/08,Deccan Chargers,336011,50,0,35,2,55,4
2007/08,Deccan Chargers,336031,42,0,53,2,80,2
2009,Mumbai Indians,392181,40,1,53,2,72,3
2009/10,Deccan Chargers,419120,47,2,47,1,77,2
2009/10,Mumbai Indians,419138,53,0,53,2,72,3
2009/10,Royal Challengers Bangalore,419145,46,1,69,2,69,3
2009/10,Delhi Daredevils,419149,45,1,23,2,43,5
2009/10,Mumbai Indians,419157,34,1,49,1,108,2
2011,Deccan Chargers,501208,41,1,45,2,89,2
2011,Delhi Daredevils,501227,42,1,38,2,80,2
2011,Chennai Super Kings,501261,41,2,38,1,73,2
2011,Royal Challengers Bangalore,501270,68,0,30,1,87,3
2012,Chennai Super Kings,548322,43,0,30,2,82,3
2012,Chennai Super Kings,548371,25,2,42,2,53,3
2012,Kings XI Punjab,548374,20,4,49,3,72,1
2012,Deccan Chargers,548376,23,3,48,3,61,1
2013,Kings XI Punjab,598007,43,2,15,4,80,3
2013,Mumbai Indians,598063,49,1,27,2,90,3
2013,Kings XI Punjab,598066,35,2,40,5,108,0
2013,Pune Warriors,598067,40,1,51,1,81,3
2014,Mumbai Indians,733995,42,1,46,4,69,1
2015,Royal Challengers Bangalore,829763,52,2,58,1,90,1
2015,Kolkata Knight Riders,829771,61,1,0,0,50,2
2015,Sunrisers Hyderabad,829787,56,1,50,1,95,2
2015,Chennai Super Kings,829797,36,2,42,2,79,0
2015,Mumbai Indians,829823,61,0,52,2,89,2
2016,Royal Challengers Bangalore,980931,48,1,48,2,89,0
2016,Kings XI Punjab,980971,45,1,46,2,90,1
2016,Royal Challengers Bangalore,980987,42,1,89,2,117,0
2016,Rising Pune Supergiants,980989,37,2,7,1,59,2
2016,Kolkata Knight Riders,981009,48,2,25,2,98,2
2017,Kolkata Knight Riders,1082649,25,3,15,4,67,3
2018,Sunrisers Hyderabad,1136606,29,1,38,2,112,1
2018,Mumbai Indians,1136610,60,3,32,2,94,3
2019,Sunrisers Hyderabad,1175357,54,0,37,1,90,2
2019,Delhi Capitals,1175360,43,1,25,2,79,3
2019,Delhi Capitals,1175371,36,2,36,3,57,3
2019,Kolkata Knight Riders,1178398,29,4,31,1,48,3
2019,Royal Challengers Bangalore,1178406,45,1,35,4,91,1
2019,Kolkata Knight Riders,1178422,50,0,68,0,114,2
2019,Mumbai Indians,1178426,44,1,42,1,76,3
2020/21,Delhi Capitals,1216515,57,1,59,2,112,1
2020/21,Kings XI Punjab,1216513,46,0,37,2,95,2
2020/21,Kolkata Knight Riders,1216523,25,1,49,1,90,1
2020/21,Delhi Capitals,1216543,47,2,29,3,85,2
2020/21,Delhi Capitals,1237180,65,0,44,1,80,2
2021,Kolkata Knight Riders,1254060,50,0,35,4,102,2
2021,Punjab Kings,1254068,59,0,45,2,91,2
2021,Chennai Super Kings,1254069,46,2,55,2,87,3
2021,Punjab Kings,1254083,49,1,53,0,77,4
2021,Rajasthan Royals,1254111,57,1,21,6,107,3
2021,Delhi Capitals,1254097,36,2,34,2,84,2
2021,Sunrisers Hyderabad,1254095,50,1,28,2,63,4
2021,Mumbai Indians,1254088,83,1,45,3,107,5
2022,Punjab Kings,1304074,48,2,19,5,84,2
2022,Delhi Capitals,1304115,37,3,34,2,88,2
2023,Rajasthan Royals,1359511,64,0,56,1,82,3
2024,Chennai Super Kings,1422125,69,1,41,2,96,2
2024,Sunrisers Hyderabad,1422130,56,1,34,2,72,4
2024,Kolkata Knight Riders,1422134,88,1,67,4,117,2
2024,Gujarat Titans,1422135,52,1,58,1,89,2
2024,Mumbai Indians,1422138,75,0,84,1,75,4
2024,Kolkata Knight Riders,1426260,56,1,28,4,53,4
2024,Sunrisers Hyderabad,1426268,76,0,70,1,141,2
2024,Rajasthan Royals,1426303,38,1,31,2,75,5
2025,Mumbai Indians,1473440,52,3,37,3,66,3
2025,Lucknow Super Giants,1473473,46,2,49,1,85,2
2007/08,Chennai Super Kings,336007,34,3,49,1,61,3
2007/08,Rajasthan Royals,336008,48,2,0,1,55,7
2007/08,Kings XI Punjab,336035,47,1,34,2,93,2
2009/10,Kolkata Knight Riders,419106,38,4,58,0,65,0
2009/10,Chennai Super Kings,419113,31,1,61,0,72,2
2009/10,Kings XI Punjab,419121,38,1,29,2,69,3
2009/10,Delhi Daredevils,419128,64,2,49,0,70,0
2011,Deccan Chargers,501216,43,1,35,1,90,2
2011,Delhi Daredevils,501223,70,0,51,1,110,3
2011,Kolkata Knight Riders,501239,41,1,48,1,80,2
2011,Deccan Chargers,501243,43,1,41,1,91,2
2011,Kochi Tuskers Kerala,501254,62,0,39,2,77,3
2012,Deccan Chargers,548314,45,2,29,5,64,2
2012,Chennai Super Kings,548316,41,1,27,2,42,1
2012,Kings XI Punjab,548323,26,2,36,5,72,1
2012,Rajasthan Royals,548361,28,2,33,2,65,2
2012,Kolkata Knight Riders,548370,32,2,40,1,68,3
2012,Rajasthan Royals,548377,31,2,42,2,89,1
2013,Sunrisers Hyderabad,598018,25,4,38,0,56,3
2013,Chennai Super Kings,598020,39,1,46,1,84,1
2013,Chennai Super Kings,598041,36,1,54,1,96,1
2013,Delhi Daredevils,598049,42,2,50,0,62,2
2014,Delhi Daredevils,729281,30,3,52,0,63,1
2014,Rajasthan Royals,729291,54,0,45,1,92,3
2014,Rajasthan Royals,733979,50,0,35,4,85,1
2014,Kings XI Punjab,733987,38,2,58,1,135,1
2014,Royal Challengers Bangalore,734035,34,3,44,2,76,1
2015,Royal Challengers Bangalore,829795,39,1,75,0,121,0
2015,Delhi Daredevils,829813,54,0,43,0,90,4
2016,Rising Pune Supergiants,980919,49,1,36,3,67,2
2016,Kolkata Knight Riders,980975,28,4,50,0,80,0
2016,Kings XI Punjab,980991,47,1,45,2,87,1
2016,Kolkata Knight Riders,981001,44,1,31,3,49,3
2017,Gujarat Lions,1082596,40,2,25,2,70,2
2017,Kings XI Punjab,1082637,44,1,56,1,89,1
2018,Chennai Super Kings,1136587,51,1,38,3,80,1
2018,Sunrisers Hyderabad,1136599,38,2,34,4,74,2
2018,Kolkata Knight Riders,1136618,46,3,53,2,70,2
2018,Sunrisers Hyderabad,1136619,45,0,52,2,77,3
2019,Sunrisers Hyderabad,1178397,27,1,46,1,77,1
2019,Kolkata Knight Riders,1178413,61,2,33,3,65,2
2020/21,Mumbai Indians,1216508,59,1,47,2,89,1
2020/21,Mumbai Indians,1216503,41,1,67,1,83,1
2020/21,Mumbai Indians,1216511,57,1,60,0,76,3
2020/21,Delhi Capitals,1216529,46,2,35,0,81,1
2020/21,Chennai Super Kings,1216521,24,5,41,1,49,3
2020/21,Mumbai Indians,1237177,63,1,60,1,77,3
2021,Mumbai Indians,1254058,41,0,24,4,94,3
2021,Royal Challengers Bangalore,1254063,47,1,43,3,59,4
2021,Chennai Super Kings,1254072,54,0,65,2,101,1
2022,Royal Challengers Bangalore,1304049,41,0,47,1,117,1
2022,Delhi Capitals,1304065,68,0,53,1,94,4
2022,Punjab Kings,1304078,47,3,18,1,50,5
2022,Rajasthan Royals,1304085,43,3,40,1,61,3
2022,Delhi Capitals,1304110,59,2,36,2,64,3
2023,Chennai Super Kings,1359498,53,1,54,3,119,2
2023,Lucknow Super Giants,1359512,74,2,57,2,126,1
2023,Rajasthan Royals,1359516,65,0,59,3,88,4
2023,Gujarat Titans,1370353,62,0,61,2,91,2
2024,Royal Challengers Bengaluru,1426279,61,1,49,3,96,3
2024,Gujarat Titans,1426297,58,0,35,2,138,0
2025,Royal Challengers Bengaluru,1473461,64,1,42,1,57,4
2025,Lucknow Super Giants,1473467,42,2,48,2,76,2
2025,Punjab Kings,1473474,62,1,28,0,67,4
2007/08,Royal Challengers Bangalore,336006,26,2,24,2,76,3
2007/08,Chennai Super Kings,336018,28,2,54,2,74,2
2007/08,Mumbai Indians,336036,29,0,39,4,77,3
2007/08,Kings XI Punjab,336039,35,4,39,1,38,2
2009,Delhi Daredevils,392189,59,2,55,1,75,2
2009,Mumbai Indians,392215,30,1,26,4,60,2
2009,Rajasthan Royals,392217,34,1,39,1,67,4
